40,0.0120344598
41,0.0123777284
42,0.0125258649
43,0.0130546118
44,0.0145295244
45,0.0144089221
46,0.0146221154
47,0.0165573428
48,0.0146605805
49,0.0151810613
50,0.0166429439
51,0.0185273557
52,0.0212412992
1,0.0176708697
2,0.0154340054
3,0.0164761538
4,0.0168429723
5,0.018635415
6,0.0186407925
7,0.0201839094
8,0.02103851
9,0.0209554934
10,0.0210398319
11,0.0229409955
12,0.0192223447
13,0.0174238601
14,0.0167601376
15,0.0149637062
16,0.0138201726
17,0.0128926266
18,0.0135803419
19,0.0130833023
20,0.0126691884
21,0.0127730983
22,0.0129909519
23,0.011629706
24,0.010861211
25,0.0105679578
26,0.0107871285
27,0.0104661812
28,0.0092815191
29,0.0090193575
30,0.0091535603
31,0.0095254801
32,0.009166615
33,0.0090178715
34,0.0103315136
35,0.010523791
36,0.0112713374
37,0.0118659924
38,0.0121415307
39,0.0125198053
