40,0.0120559231
41,0.0131929103
42,0.0132736593
43,0.0136687926
44,0.0150534649
45,0.0161273288
46,0.0175207772
47,0.023336498
48,0.0222696502
49,0.029765651
50,0.0362552353
51,0.0455320091
52,0.060259795
1,0.049636781
2,0.0469071674
3,0.04704733
4,0.0416460102
5,0.0369532877
6,0.0323629751
7,0.0289421171
8,0.0271741722
9,0.0252296527
10,0.0255226802
11,0.0243224685
12,0.0210851076
13,0.0194724795
14,0.0174858701
15,0.0149712905
16,0.013231281
17,0.0122647437
18,0.0119613928
19,0.0119048723
20,0.0117426346
21,0.011334198
22,0.0114306185
23,0.0100881235
24,0.0102358363
25,0.0100138482
26,0.0090949801
27,0.0095004164
28,0.008292987
29,0.0080210932
30,0.0080633333
31,0.0079693694
32,0.0077913635
33,0.0079765297
34,0.0082548545
35,0.0093546876
36,0.0104344601
37,0.0109107217
38,0.0120107641
39,0.0126178916
